recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
146197289,"{'steamid': '76561198209057388', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 15480, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2516, 'last_played': 1710747776}",english,my work is really cutting into my Baldur's Gate 3 time. should i quit?,1694565640,1694565640,True,7830,2987,0.980962038040161133,0,True,False,False,True,
153859247,"{'steamid': '76561198412806684', 'num_games_owned': 95, 'num_reviews': 11, 'playtime_forever': 15276, 'playtime_last_two_weeks': 0, 'playtime_at_review': 12054, 'last_played': 1706459451}",english,You can convince bosses to kill themselves. 10/10,1702909919,1702909919,True,3605,900,0.98073875904083252,10,True,False,False,True,
143924257,"{'steamid': '76561198022720435', 'num_games_owned': 0, 'num_reviews': 32, 'playtime_forever': 8541, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5030, 'last_played': 1715870732}",english,Possessed a guard and had them open a gate containing giant spiders - Watched from the rafters as chaos ensued - broke into a vault and told the guards an innocent child did it - child went to jail. 10/10,1691783669,1691783669,True,3124,1268,0.978952229022979736,12,True,False,False,True,
146776206,"{'steamid': '76561198007607100', 'num_games_owned': 353, 'num_reviews': 10, 'playtime_forever': 22470, 'playtime_last_two_weeks': 0, 'playtime_at_review': 22389, 'last_played': 1703783791}",english,"I have only one point of criticism:
This game lacks a proper ending or epilog; something like The Witcher's Blood & Wine DLC. After adventuring hundreds of hours, after growing fond of and close to my companions, I got kicked so hard out of the game - it hurt!
In fact I immediately started a 2nd playthrough, because I wasn't yet ready to let go. Please Larian, give us an epilog or at least one last night at the camp with all my allies, companions and friends for the Definitive Edition.

edit: As of patch5 this has been implemented. Thanks Larian Studios! You guys are the best!",1695386806,1701885967,True,1320,6,0.97847980260848999,28,True,False,False,True,
143578821,"{'steamid': '76561198004904749', 'num_games_owned': 418, 'num_reviews': 6, 'playtime_forever': 4046, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1674, 'last_played': 1694088661}",english,"No microtransactions
No in-game purchases
No paywalls
No game passes
No preorder exploitative content
No internet connection needed to play.

Lots of content, highly detailed world but on a loved and tested concept.",1691401740,1691401740,True,15452,51,0.978366076946258545,0,True,False,False,True,
144834470,"{'steamid': '76561198053712363', 'num_games_owned': 161, 'num_reviews': 3, 'playtime_forever': 7366, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3139, 'last_played': 1698718785}",english,I like the part where the game doesn't have microtransactions,1692768410,1692768410,True,2835,199,0.977842152118682861,14,True,False,False,True,
144922138,"{'steamid': '76561198006614254', 'num_games_owned': 0, 'num_reviews': 9, 'playtime_forever': 3646, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2436, 'last_played': 1693476069}",english,"To sum up this game in a way only players will understand:

This game has a unique ability to make you think about your next play through while you're still playing your current one.",1692887417,1692887417,True,10285,407,0.977566301822662354,5,True,False,False,True,
147307675,"{'steamid': '76561197994424040', 'num_games_owned': 0, 'num_reviews': 56, 'playtime_forever': 13078, 'playtime_last_two_weeks': 0, 'playtime_at_review': 12923, 'last_played': 1696863976}",english,"There's no way anyone actually reads this review among the thousands of others, but I had such a good time with this game I wanted to contribute my 0.0001% to whatever the positive review proportion stands at.

It's good!",1696020619,1696020619,True,7378,289,0.977223098278045654,106,True,False,False,True,
143903710,"{'steamid': '76561198055540898', 'num_games_owned': 0, 'num_reviews': 12, 'playtime_forever': 13368, 'playtime_last_two_weeks': 0, 'playtime_at_review': 8057, 'last_played': 1693635123}",english,This game got me away from League of Legends.,1691769106,1691769106,True,5272,1658,0.976555168628692627,0,True,False,False,True,
142723633,"{'steamid': '76561198073305275', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 85291, 'playtime_last_two_weeks': 1175, 'playtime_at_review': 26445, 'last_played': 1720654078}",english,I am 71 years of age and kept thinking it will not be ready before i go so yippee thank you larian  you have made an old man extremely happy this game is the best.,1690230620,1690230620,True,1991,114,0.976201474666595459,74,True,False,True,True,
143698501,"{'steamid': '76561198059025967', 'num_games_owned': 0, 'num_reviews': 13, 'playtime_forever': 13804, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6744, 'last_played': 1716794246}",english,"FOR ALL THE DEVS THAT HAVE MICRO-TRANSACTIONS ETC;

You know your doing something right when other developers like EA/Ubisoft/Blizzard, etc, come out saying, ""Baldur's Gate 3 should not be the new standard"". 
To put it simply, they are just mad because Larian Studios will not have a battle-pass, micro-transactions and expensive DLC's.
Which after all, is all us gamer's want. Just a polished game with unlimited hours of fun. Well done Larian Studios! You can tell you actually care about games, and have bought back what it felt like 15 years ago for me.

EDIT:
reading through the comments and you can see the majority rules. when i speak of DLC's i'm referring to things that should already of been included in the base game for example, Total War Warhammer (great game btw) should, in my opinion, already include the chaos race in the base game. i shouldn't have to pay an extra $30 for this particular race, (once again just my opinion). now id happily pay for an ""expensive"" DLC/add-on whatever you want to call it for BG3, especially if its the same quality as Blood and Wine.

Narrator: you sense something staring at you from afar, something pulls your gaze from the screen and, as you slowly turn your head your good eye catches the time. your gaze is now drawn to your wife (Raphael) as you realise you have been playing for almost 8 hours straight.
1. give in to the tadpole and go mow the lawns 
2. (INTELLIGENCE) broker a deal with the wife to continue playing
3. (PALADIN) it is by your oath that you will push through whatever evil stands in your way and continue
4. f#$k its almost time for work....",1691559880,1691851202,True,15814,532,0.97507554292678833,217,True,False,False,True,
143671720,"{'steamid': '76561198002549206', 'num_games_owned': 0, 'num_reviews': 30, 'playtime_forever': 5864, 'playtime_last_two_weeks': 0, 'playtime_at_review': 909, 'last_played': 1696369698}",english,The worm in my brain says it is good.,1691520895,1691520895,True,6971,2750,0.974130034446716309,0,True,False,False,True,
149537047,"{'steamid': '76561198155529155', 'num_games_owned': 445, 'num_reviews': 28, 'playtime_forever': 13046, 'playtime_last_two_weeks': 340, 'playtime_at_review': 11958, 'last_played': 1720452061}",english,It's like playing D&D in real life except your players don't cancel last minute,1699126113,1699126113,True,1000,443,0.973891794681549072,0,True,False,False,True,
