,review,playtime_at_review,num_games_owned,voted_up,review_length,processed_review
0,my work is really cutting into my Baldur's Gate 3 time. should i quit?,41.93333333333333,0,1,14,work really cutting baldur gate time quit
1,You can convince bosses to kill themselves. 10/10,200.9,95,1,8,convince boss kill
2,Possessed a guard and had them open a gate containing giant spiders - Watched from the rafters as chaos ensued - broke into a vault and told the guards an innocent child did it - child went to jail. 10/10,83.83333333333333,0,1,40,possessed guard open gate containing giant spider watched rafter chaos ensued broke vault told guard innocent child child went jail
3,"I have only one point of criticism:
This game lacks a proper ending or epilog; something like The Witcher's Blood & Wine DLC. After adventuring hundreds of hours, after growing fond of and close to my companions, I got kicked so hard out of the game - it hurt!
In fact I immediately started a 2nd playthrough, because I wasn't yet ready to let go. Please Larian, give us an epilog or at least one last night at the camp with all my allies, companions and friends for the Definitive Edition.

edit: As of patch5 this has been implemented. Thanks Larian Studios! You guys are the best!",373.15,353,1,107,one point criticism game lack proper ending epilog something like witcher blood wine dlc adventuring hundred hour growing fond close companion got kicked hard game hurt fact immediately started nd playthrough yet ready let go please larian give u epilog least one last night camp ally companion friend definitive edition edit patch implemented thanks larian studio guy best
4,"No microtransactions
No in-game purchases
No paywalls
No game passes
No preorder exploitative content
No internet connection needed to play.

Lots of content, highly detailed world but on a loved and tested concept.",27.9,418,1,33,microtransactions game purchase paywalls game pass preorder exploitative content internet connection needed play lot content highly detailed world loved tested concept
5,I like the part where the game doesn't have microtransactions,52.31666666666667,161,1,10,like part game microtransactions
6,"To sum up this game in a way only players will understand:

This game has a unique ability to make you think about your next play through while you're still playing your current one.",40.6,0,1,34,sum game way player understand game unique ability make think next play still playing current one
7,"There's no way anyone actually reads this review among the thousands of others, but I had such a good time with this game I wanted to contribute my 0.0001% to whatever the positive review proportion stands at.

It's good!",215.38333333333333,0,1,39,way anyone actually read review among thousand others good time game wanted contribute whatever positive review proportion stand good
8,This game got me away from League of Legends.,134.28333333333333,0,1,9,game got away league legend
9,I am 71 years of age and kept thinking it will not be ready before i go so yippee thank you larian  you have made an old man extremely happy this game is the best.,440.75,0,1,35,year age kept thinking ready go yippee thank larian made old man extremely happy game best
